type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2021-09-15 21:38:09,40.69360463,-73.98735856,10,85.012,,0.000,,18,26,,
T,2021-09-15 21:38:10,40.69360337,-73.98735806,10,85.084,,0.000,,19,26,,
T,2021-09-15 21:38:11,40.69360267,-73.98735738,9,85.223,,0.000,,19,26,,
T,2021-09-15 21:38:12,40.69360228,-73.98735676,9,85.245,,0.000,,19,26,,
T,2021-09-15 21:38:45,40.69419687,-73.98717198,13,89.056,,0.460,8,19,26,,
T,2021-09-15 21:38:46,40.69421480,-73.98716756,13,88.833,,1.450,10,18,26,,
T,2021-09-15 21:38:47,40.69422905,-73.98716524,14,87.453,,0.520,7,18,26,,
T,2021-09-15 21:38:48,40.69423639,-73.98716300,13,87.418,,0.230,6,17,26,,
T,2021-09-15 21:38:49,40.69424435,-73.98716049,14,85.523,,0.000,,17,26,,
T,2021-09-15 21:38:50,40.69425292,-73.98715413,15,85.953,,0.220,3,17,25,,
T,2021-09-15 21:38:51,40.69425652,-73.98715214,14,85.123,,0.000,,17,26,,
T,2021-09-15 21:38:52,40.69426117,-73.98714308,14,85.653,,0.200,359,17,26,,
T,2021-09-15 21:38:53,40.69426198,-73.98713907,16,84.950,,0.000,,17,26,,
T,2021-09-15 21:38:54,40.69426396,-73.98713331,15,85.554,,0.210,354,17,26,,
T,2021-09-15 21:38:55,40.69426279,-73.98713254,15,84.116,,0.200,351,19,26,,
T,2021-09-15 21:38:56,40.69426160,-73.98713169,15,83.470,,0.000,,19,26,,
T,2021-09-15 21:38:59,40.69426282,-73.98711016,15,81.985,,0.000,,18,26,,
T,2021-09-15 21:39:01,40.69426573,-73.98709643,15,80.761,,0.000,,18,26,,
T,2021-09-15 21:39:04,40.69427596,-73.98710234,14,78.990,,0.000,,18,26,,
T,2021-09-15 21:39:06,40.69429250,-73.98711023,13,78.457,,0.000,,19,26,,
T,2021-09-15 21:39:07,40.69430518,-73.98712761,13,76.769,,0.000,,19,26,,
T,2021-09-15 21:39:08,40.69431238,-73.98713751,13,76.734,,0.000,,19,26,,
T,2021-09-15 21:39:09,40.69440903,-73.98714189,13,74.365,,5.010,357,17,26,,
T,2021-09-15 21:39:10,40.69451694,-73.98714367,13,66.018,,5.570,356,17,26,,
T,2021-09-15 21:39:11,40.69461497,-73.98711830,14,61.668,,5.970,357,17,26,,
T,2021-09-15 21:39:12,40.69469738,-73.98711193,13,59.609,,5.590,358,17,26,,
T,2021-09-15 21:39:13,40.69475388,-73.98711912,13,57.346,,5.320,1,19,26,,
T,2021-09-15 21:39:14,40.69477975,-73.98709680,13,57.374,,5.470,2,20,26,,
T,2021-09-15 21:39:15,40.69480067,-73.98709985,13,55.044,,4.980,5,20,26,,
T,2021-09-15 21:39:16,40.69482947,-73.98708128,13,53.676,,4.940,10,20,26,,
T,2021-09-15 21:39:17,40.69487697,-73.98708873,14,51.831,,4.860,9,20,26,,
T,2021-09-15 21:39:18,40.69491151,-73.98708582,15,52.887,,4.460,10,20,26,,
T,2021-09-15 21:39:19,40.69489284,-73.98710472,14,56.464,,1.970,7,19,26,,
T,2021-09-15 21:39:20,40.69491895,-73.98710159,14,57.253,,2.040,7,19,26,,
T,2021-09-15 21:39:21,40.69497887,-73.98707591,14,57.980,,4.050,12,19,26,,
T,2021-09-15 21:39:22,40.69510160,-73.98702869,14,57.899,,5.380,13,19,26,,
T,2021-09-15 21:39:23,40.69514935,-73.98703793,14,57.619,,4.960,11,19,26,,
T,2021-09-15 21:39:24,40.69521919,-73.98707262,14,54.806,,4.540,8,18,26,,
T,2021-09-15 21:39:25,40.69528835,-73.98712214,14,49.996,,5.110,4,19,26,,
T,2021-09-15 21:39:26,40.69535179,-73.98716682,15,46.984,,5.460,1,20,26,,
T,2021-09-15 21:39:27,40.69545526,-73.98718208,16,46.057,,6.810,356,18,26,,
T,2021-09-15 21:39:28,40.69555488,-73.98714337,18,46.036,,7.250,1,19,26,,
T,2021-09-15 21:39:29,40.69563843,-73.98715238,21,45.775,,7.150,359,19,26,,
T,2021-09-15 21:39:30,40.69571887,-73.98717048,23,46.404,,6.150,358,19,26,,
T,2021-09-15 21:39:31,40.69578492,-73.98715359,23,45.500,,5.280,2,18,26,,
T,2021-09-15 21:39:32,40.69582326,-73.98714116,22,42.990,,4.210,2,18,26,,
T,2021-09-15 21:39:33,40.69583530,-73.98708529,20,40.334,,3.150,45,18,26,,
T,2021-09-15 21:39:34,40.69585560,-73.98704720,23,37.973,,3.660,39,18,26,,
T,2021-09-15 21:39:35,40.69588035,-73.98699283,24,36.201,,4.220,56,18,26,,
T,2021-09-15 21:39:36,40.69602820,-73.98691034,21,32.961,,9.680,27,18,26,,
T,2021-09-15 21:39:37,40.69610677,-73.98680313,18,32.566,,10.930,32,18,26,,
T,2021-09-15 21:39:38,40.69616435,-73.98671179,17,33.936,,9.430,41,20,26,,
T,2021-09-15 21:39:39,40.69618272,-73.98659454,17,33.998,,9.320,62,21,26,,
T,2021-09-15 21:39:40,40.69606362,-73.98638363,14,24.922,,10.320,92,21,26,,
T,2021-09-15 21:39:41,40.69603225,-73.98624224,13,21.755,,9.520,92,20,26,,
T,2021-09-15 21:39:42,40.69603054,-73.98613247,13,19.121,,8.740,88,20,26,,
T,2021-09-15 21:39:43,40.69602664,-73.98601533,13,16.793,,9.140,91,20,26,,
T,2021-09-15 21:39:44,40.69601928,-73.98592753,12,12.806,,7.980,93,18,26,,
T,2021-09-15 21:39:45,40.69601910,-73.98582558,12,10.285,,7.280,92,20,26,,
T,2021-09-15 21:39:46,40.69600407,-73.98574739,12,7.663,,6.220,94,21,26,,
T,2021-09-15 21:39:47,40.69599711,-73.98567572,11,6.120,,5.580,91,21,26,,
T,2021-09-15 21:39:48,40.69599910,-73.98561868,11,3.834,,4.580,86,21,26,,
T,2021-09-15 21:39:49,40.69600006,-73.98556386,11,2.908,,4.390,87,21,26,,
T,2021-09-15 21:39:50,40.69599877,-73.98551212,11,3.549,,4.130,87,21,26,,
T,2021-09-15 21:39:51,40.69600352,-73.98546472,11,2.655,,3.710,89,21,26,,
T,2021-09-15 21:39:52,40.69599275,-73.98542266,11,1.708,,3.400,93,20,26,,
T,2021-09-15 21:39:53,40.69598353,-73.98538109,11,-0.345,,3.520,95,20,26,,
T,2021-09-15 21:39:54,40.69598173,-73.98533931,11,-0.750,,3.520,97,20,26,,
T,2021-09-15 21:39:55,40.69597677,-73.98530149,11,-0.571,,3.160,95,20,26,,
T,2021-09-15 21:39:56,40.69597380,-73.98526627,11,-0.793,,2.930,92,20,26,,
T,2021-09-15 21:39:57,40.69597201,-73.98523020,11,-1.032,,2.890,93,20,26,,
T,2021-09-15 21:39:58,40.69597141,-73.98520077,11,-0.910,,2.300,96,22,26,,
T,2021-09-15 21:39:59,40.69596901,-73.98517440,11,-1.769,,1.970,97,22,26,,
T,2021-09-15 21:40:00,40.69596620,-73.98515539,11,-2.579,,1.370,100,22,26,,
T,2021-09-15 21:40:01,40.69596416,-73.98514362,11,-3.942,,0.760,101,22,26,,
T,2021-09-15 21:40:02,40.69596206,-73.98513916,11,-3.898,,0.160,100,21,26,,
T,2021-09-15 21:40:03,40.69595665,-73.98513613,12,-2.719,,0.000,,21,26,,
T,2021-09-15 21:40:06,40.69594957,-73.98512086,7,-3.845,,0.000,,20,26,,
T,2021-09-15 21:40:10,40.69593958,-73.98511474,7,-3.899,,0.000,,19,26,,
T,2021-09-15 21:40:17,40.69593650,-73.98511651,7,-3.561,,0.000,,24,26,,
T,2021-09-15 21:40:18,40.69593527,-73.98511075,7,-4.030,,0.490,97,24,26,,
T,2021-09-15 21:40:19,40.69593689,-73.98509825,7,-3.181,,0.820,98,24,26,,
T,2021-09-15 21:40:21,40.69593830,-73.98507748,7,-2.975,,0.610,97,23,26,,
T,2021-09-15 21:40:22,40.69594368,-73.98507366,7,-2.885,,0.000,,22,26,,
T,2021-09-15 21:40:26,40.69593516,-73.98507764,6,-4.293,,0.000,,21,26,,
T,2021-09-15 21:40:28,40.69593203,-73.98507846,6,-4.286,,0.000,,22,26,,
T,2021-09-15 21:40:29,40.69593180,-73.98507573,7,-4.223,,0.280,102,22,26,,
T,2021-09-15 21:40:31,40.69593190,-73.98504168,7,-4.053,,2.130,100,22,26,,
T,2021-09-15 21:40:32,40.69593701,-73.98498677,7,-5.046,,4.490,97,22,26,,
T,2021-09-15 21:40:33,40.69596503,-73.98490488,7,-5.470,,5.260,97,22,26,,
T,2021-09-15 21:40:34,40.69596530,-73.98484742,7,-5.575,,5.090,97,22,26,,
T,2021-09-15 21:40:35,40.69597279,-73.98479038,7,-5.325,,4.850,89,22,26,,
T,2021-09-15 21:40:36,40.69597705,-73.98475590,7,-5.652,,3.980,102,21,26,,
T,2021-09-15 21:40:37,40.69597360,-73.98471775,7,-6.419,,3.360,97,21,26,,
T,2021-09-15 21:40:38,40.69597033,-73.98467536,7,-6.778,,3.200,93,22,26,,
T,2021-09-15 21:40:39,40.69597829,-73.98464171,8,-7.552,,2.820,81,21,26,,
T,2021-09-15 21:40:40,40.69599182,-73.98459430,10,-7.768,,3.470,68,22,26,,
T,2021-09-15 21:40:41,40.69602250,-73.98455664,9,-9.112,,4.230,48,22,26,,
T,2021-09-15 21:40:42,40.69607698,-73.98451822,9,-7.114,,5.080,24,22,26,,
T,2021-09-15 21:40:43,40.69614062,-73.98451552,10,-7.736,,5.910,10,22,26,,
T,2021-09-15 21:40:44,40.69623096,-73.98452559,9,-8.042,,8.330,356,23,26,,
T,2021-09-15 21:40:45,40.69631286,-73.98454674,9,-7.625,,8.660,348,22,26,,
T,2021-09-15 21:40:46,40.69640263,-73.98457426,9,-8.120,,8.950,343,21,26,,
T,2021-09-15 21:40:47,40.69647925,-73.98462116,8,-7.822,,9.060,338,21,26,,
T,2021-09-15 21:40:48,40.69655871,-73.98464693,7,-6.244,,8.900,333,21,26,,
T,2021-09-15 21:40:49,40.69663315,-73.98468103,6,-5.260,,8.610,335,21,26,,
T,2021-09-15 21:40:50,40.69670080,-73.98471021,6,-2.980,,8.160,335,18,26,,
T,2021-09-15 21:40:51,40.69676709,-73.98473033,6,-2.448,,7.440,337,19,26,,
T,2021-09-15 21:40:52,40.69682043,-73.98475517,6,-1.860,,6.730,337,19,26,,
T,2021-09-15 21:40:53,40.69687000,-73.98477917,5,-0.111,,6.360,338,19,26,,
T,2021-09-15 21:40:54,40.69692495,-73.98479830,5,-0.051,,5.860,341,19,26,,
T,2021-09-15 21:40:55,40.69696429,-73.98482017,5,0.386,,5.330,338,18,26,,
T,2021-09-15 21:40:56,40.69700210,-73.98483936,5,0.502,,4.940,340,18,26,,
T,2021-09-15 21:40:57,40.69702885,-73.98485928,5,0.612,,3.490,338,18,26,,
T,2021-09-15 21:40:58,40.69706206,-73.98487620,5,0.927,,3.920,339,18,26,,
T,2021-09-15 21:40:59,40.69708695,-73.98489539,4,1.669,,3.110,337,18,26,,
T,2021-09-15 21:41:00,40.69709866,-73.98490776,5,1.437,,1.840,338,16,26,,
T,2021-09-15 21:41:01,40.69711352,-73.98491297,4,1.935,,1.870,339,16,26,,
T,2021-09-15 21:41:02,40.69712277,-73.98491877,5,2.105,,0.980,338,18,26,,
T,2021-09-15 21:41:03,40.69713137,-73.98492275,5,2.837,,1.180,340,20,26,,
T,2021-09-15 21:41:06,40.69714056,-73.98493637,5,4.110,,1.360,342,19,26,,
T,2021-09-15 21:41:07,40.69714873,-73.98494249,5,4.570,,1.230,339,19,26,,
T,2021-09-15 21:41:08,40.69717020,-73.98495506,5,4.427,,2.780,343,19,26,,
T,2021-09-15 21:41:09,40.69719652,-73.98497071,6,3.633,,2.950,343,19,25,,
T,2021-09-15 21:41:10,40.69722408,-73.98498686,7,3.844,,3.070,341,19,26,,
T,2021-09-15 21:41:11,40.69726848,-73.98500580,6,2.633,,4.520,339,19,26,,
T,2021-09-15 21:41:12,40.69732158,-73.98502286,7,1.324,,4.580,340,20,26,,
T,2021-09-15 21:41:13,40.69739631,-73.98504015,7,1.845,,5.480,340,21,26,,
T,2021-09-15 21:41:14,40.69745602,-73.98507642,7,0.468,,7.140,336,21,26,,
T,2021-09-15 21:41:15,40.69752129,-73.98511632,7,0.281,,8.300,342,21,26,,
T,2021-09-15 21:41:16,40.69759897,-73.98515587,7,0.897,,9.580,338,21,26,,
T,2021-09-15 21:41:17,40.69768243,-73.98519724,7,1.172,,10.200,337,22,25,,
T,2021-09-15 21:41:18,40.69778322,-73.98527170,6,0.924,,11.180,335,22,26,,
T,2021-09-15 21:41:19,40.69788625,-73.98532977,6,0.216,,11.110,337,22,26,,
T,2021-09-15 21:41:20,40.69797756,-73.98538181,6,0.496,,11.190,336,22,26,,
T,2021-09-15 21:41:21,40.69806963,-73.98543451,6,0.096,,10.630,338,21,26,,
T,2021-09-15 21:41:22,40.69815795,-73.98547765,6,0.257,,10.450,332,20,26,,
T,2021-09-15 21:41:23,40.69824384,-73.98553704,6,-0.770,,10.590,326,20,26,,
T,2021-09-15 21:41:24,40.69833732,-73.98558938,6,-0.786,,10.560,324,19,26,,
T,2021-09-15 21:41:25,40.69842915,-73.98563620,6,-0.426,,10.750,324,18,26,,
T,2021-09-15 21:41:26,40.69852361,-73.98570127,5,-1.280,,10.950,324,18,26,,
T,2021-09-15 21:41:27,40.69861799,-73.98575916,5,-0.965,,11.420,335,20,26,,
T,2021-09-15 21:41:28,40.69871028,-73.98581422,5,-1.429,,11.840,335,21,26,,
T,2021-09-15 21:41:29,40.69881487,-73.98587641,5,-1.887,,12.360,327,22,26,,
T,2021-09-15 21:41:30,40.69891584,-73.98593586,5,-1.975,,12.910,336,22,26,,
T,2021-09-15 21:41:31,40.69901934,-73.98599513,5,-2.203,,13.310,332,22,26,,
T,2021-09-15 21:41:32,40.69913230,-73.98606587,4,-2.677,,13.760,331,23,26,,
T,2021-09-15 21:41:33,40.69924593,-73.98613396,4,-3.207,,14.140,330,23,26,,
T,2021-09-15 21:41:34,40.69936047,-73.98619914,4,-3.440,,14.190,333,23,26,,
T,2021-09-15 21:41:35,40.69947745,-73.98626950,4,-3.787,,14.310,334,23,26,,
T,2021-09-15 21:41:36,40.69959832,-73.98632891,4,-3.070,,14.470,332,22,26,,
T,2021-09-15 21:41:37,40.69972355,-73.98639517,4,-3.010,,14.930,334,22,26,,
T,2021-09-15 21:41:38,40.69984674,-73.98646202,4,-2.558,,14.910,333,22,26,,
T,2021-09-15 21:41:39,40.69996940,-73.98652918,4,-2.122,,15.020,333,22,26,,
T,2021-09-15 21:41:40,40.70008771,-73.98659869,4,-1.412,,14.730,334,21,26,,
T,2021-09-15 21:41:41,40.70020936,-73.98667168,4,-0.268,,14.950,334,22,26,,
T,2021-09-15 21:41:42,40.70032371,-73.98675285,4,-0.345,,14.370,334,22,26,,
T,2021-09-15 21:41:43,40.70044715,-73.98682595,4,-0.907,,14.630,333,22,26,,
T,2021-09-15 21:41:44,40.70057221,-73.98688814,4,-0.089,,14.980,333,22,26,,
T,2021-09-15 21:41:45,40.70069621,-73.98696279,4,0.026,,15.120,334,22,26,,
T,2021-09-15 21:41:46,40.70082594,-73.98703304,4,0.753,,15.810,335,22,26,,
T,2021-09-15 21:41:47,40.70095306,-73.98710725,4,1.609,,15.830,335,21,26,,
T,2021-09-15 21:41:48,40.70108190,-73.98718370,4,2.399,,16.140,335,21,26,,
T,2021-09-15 21:41:49,40.70121219,-73.98727283,4,2.586,,16.430,334,22,26,,
T,2021-09-15 21:41:50,40.70135212,-73.98736013,5,2.506,,16.690,334,22,26,,
T,2021-09-15 21:41:51,40.70149014,-73.98743877,5,2.579,,16.970,335,21,26,,
T,2021-09-15 21:41:52,40.70163545,-73.98751112,4,2.568,,16.830,335,21,26,,
T,2021-09-15 21:41:53,40.70178656,-73.98757494,4,2.252,,16.800,336,21,26,,
T,2021-09-15 21:41:54,40.70192646,-73.98763954,4,2.928,,16.350,335,21,26,,
T,2021-09-15 21:41:55,40.70206181,-73.98771012,4,3.813,,16.140,338,22,26,,
T,2021-09-15 21:41:56,40.70219715,-73.98778055,4,4.003,,15.950,339,22,26,,
T,2021-09-15 21:41:57,40.70233316,-73.98785200,5,3.634,,16.060,340,22,26,,
T,2021-09-15 21:41:58,40.70246288,-73.98792763,5,3.955,,15.840,339,22,26,,
T,2021-09-15 21:41:59,40.70259041,-73.98800824,5,4.427,,15.950,339,22,26,,
T,2021-09-15 21:42:00,40.70272405,-73.98808083,5,4.964,,16.200,338,22,26,,
T,2021-09-15 21:42:01,40.70285803,-73.98815703,5,5.348,,16.210,336,23,26,,
T,2021-09-15 21:42:02,40.70299511,-73.98823514,5,6.486,,16.480,338,23,26,,
T,2021-09-15 21:42:03,40.70313799,-73.98830825,4,7.569,,16.480,337,23,26,,
T,2021-09-15 21:42:04,40.70327569,-73.98838257,4,8.162,,16.660,337,23,26,,
T,2021-09-15 21:42:05,40.70341327,-73.98845676,4,8.927,,16.700,339,23,26,,
T,2021-09-15 21:42:06,40.70355446,-73.98853686,4,9.806,,16.840,338,23,26,,
T,2021-09-15 21:42:07,40.70369661,-73.98861849,4,10.117,,17.120,336,22,26,,
T,2021-09-15 21:42:08,40.70384022,-73.98869873,4,10.512,,17.330,335,22,26,,
T,2021-09-15 21:42:09,40.70398271,-73.98878025,4,10.634,,17.220,335,23,26,,
T,2021-09-15 21:42:10,40.70412829,-73.98887703,4,10.866,,17.730,335,23,26,,
T,2021-09-15 21:42:11,40.70428222,-73.98895822,4,11.672,,17.810,336,23,26,,
T,2021-09-15 21:42:12,40.70442563,-73.98904030,4,11.902,,17.220,335,23,26,,
T,2021-09-15 21:42:13,40.70456333,-73.98911476,4,12.056,,16.400,335,23,26,,
T,2021-09-15 21:42:14,40.70469152,-73.98919215,4,12.742,,16.400,335,23,26,,
T,2021-09-15 21:42:15,40.70482537,-73.98926868,4,13.516,,16.340,334,23,26,,
T,2021-09-15 21:42:16,40.70495380,-73.98933999,4,14.426,,16.260,334,23,26,,
T,2021-09-15 21:42:17,40.70509732,-73.98941573,4,14.791,,16.470,334,23,26,,
T,2021-09-15 21:42:18,40.70522528,-73.98949003,4,13.866,,15.710,333,23,26,,
T,2021-09-15 21:42:19,40.70536723,-73.98958085,4,14.720,,17.020,335,23,26,,
T,2021-09-15 21:42:20,40.70551008,-73.98966006,4,14.960,,17.100,334,24,26,,
T,2021-09-15 21:42:21,40.70565125,-73.98974719,4,15.308,,17.360,335,24,26,,
T,2021-09-15 21:42:22,40.70579436,-73.98983341,4,15.296,,17.710,335,24,26,,
T,2021-09-15 21:42:23,40.70594470,-73.98991987,4,14.542,,17.640,332,24,26,,
T,2021-09-15 21:42:24,40.70610648,-73.99000293,4,13.792,,18.170,335,24,26,,
T,2021-09-15 21:42:25,40.70626242,-73.99007947,4,13.428,,18.270,336,24,26,,
T,2021-09-15 21:42:26,40.70640430,-73.99015692,4,13.904,,17.940,334,24,26,,
T,2021-09-15 21:42:27,40.70654532,-73.99024566,4,13.973,,17.700,335,24,26,,
T,2021-09-15 21:42:28,40.70669650,-73.99033498,4,13.578,,18.540,336,24,26,,
T,2021-09-15 21:42:29,40.70685737,-73.99041847,4,14.026,,19.380,336,24,26,,
T,2021-09-15 21:42:30,40.70700871,-73.99050408,4,13.840,,18.780,336,24,26,,
T,2021-09-15 21:42:31,40.70716444,-73.99057692,4,13.675,,17.960,337,24,26,,
T,2021-09-15 21:42:32,40.70731133,-73.99065267,4,13.340,,17.970,337,24,26,,
T,2021-09-15 21:42:33,40.70745636,-73.99073713,4,13.950,,17.920,337,24,26,,
T,2021-09-15 21:42:34,40.70759982,-73.99081324,4,14.896,,17.830,336,24,26,,
T,2021-09-15 21:42:35,40.70775646,-73.99088626,4,15.742,,18.620,336,24,26,,
T,2021-09-15 21:42:36,40.70792028,-73.99096575,4,16.309,,19.310,337,24,26,,
T,2021-09-15 21:42:37,40.70807021,-73.99106266,4,16.029,,18.920,335,24,26,,
T,2021-09-15 21:42:38,40.70822629,-73.99116029,4,17.186,,19.080,336,24,26,,
T,2021-09-15 21:42:39,40.70838201,-73.99126116,4,16.736,,19.430,336,24,26,,
T,2021-09-15 21:42:40,40.70854590,-73.99134816,5,18.616,,19.690,337,23,26,,
T,2021-09-15 21:42:41,40.70870043,-73.99143218,4,18.330,,19.160,337,23,26,,
T,2021-09-15 21:42:42,40.70885569,-73.99152011,5,17.447,,19.150,337,23,26,,
T,2021-09-15 21:42:43,40.70903489,-73.99162144,5,17.373,,20.450,337,23,26,,
T,2021-09-15 21:42:44,40.70919366,-73.99173004,5,16.629,,20.240,336,23,26,,
T,2021-09-15 21:42:45,40.70936771,-73.99181447,5,15.005,,20.750,336,23,26,,
T,2021-09-15 21:42:46,40.70955340,-73.99190546,5,15.486,,21.500,336,23,26,,
T,2021-09-15 21:42:47,40.70973228,-73.99201149,4,15.036,,21.620,337,23,26,,
T,2021-09-15 21:42:48,40.70990215,-73.99210156,5,14.553,,20.940,339,23,26,,
T,2021-09-15 21:42:49,40.71006908,-73.99219702,5,14.758,,20.140,338,23,26,,
T,2021-09-15 21:42:50,40.71024293,-73.99226156,5,14.908,,19.400,339,23,26,,
T,2021-09-15 21:42:51,40.71039196,-73.99234265,5,14.355,,18.420,338,24,26,,
T,2021-09-15 21:42:52,40.71055429,-73.99241285,5,13.364,,18.050,338,24,26,,
T,2021-09-15 21:42:53,40.71069679,-73.99249080,5,12.802,,17.200,338,24,26,,
T,2021-09-15 21:42:54,40.71082891,-73.99257003,5,10.999,,16.140,340,24,26,,
T,2021-09-15 21:42:55,40.71095509,-73.99264801,5,9.654,,16.060,339,24,26,,
T,2021-09-15 21:42:56,40.71109613,-73.99272419,5,8.101,,16.630,338,24,26,,
T,2021-09-15 21:42:57,40.71123555,-73.99281808,4,6.486,,17.030,338,23,26,,
T,2021-09-15 21:42:58,40.71137055,-73.99291264,4,6.566,,17.100,337,23,26,,
T,2021-09-15 21:42:59,40.71150639,-73.99298466,4,6.142,,16.570,340,23,26,,
T,2021-09-15 21:43:00,40.71163554,-73.99306013,4,5.777,,15.550,337,23,26,,
T,2021-09-15 21:43:01,40.71176085,-73.99313505,4,5.186,,14.720,338,23,26,,
T,2021-09-15 21:43:02,40.71188373,-73.99319773,4,5.323,,14.740,338,23,26,,
T,2021-09-15 21:43:03,40.71200239,-73.99326744,4,4.806,,14.950,335,24,26,,
T,2021-09-15 21:43:04,40.71212238,-73.99334425,4,5.110,,14.550,335,24,25,,
T,2021-09-15 21:43:05,40.71224018,-73.99340585,4,4.782,,13.960,337,24,25,,
T,2021-09-15 21:43:06,40.71235777,-73.99347073,4,4.563,,13.900,337,24,25,,
T,2021-09-15 21:43:07,40.71246465,-73.99354088,4,3.450,,13.140,339,24,25,,
T,2021-09-15 21:43:08,40.71257468,-73.99359540,4,3.332,,13.220,337,24,25,,
T,2021-09-15 21:43:09,40.71268492,-73.99364898,5,3.666,,13.140,338,23,25,,
T,2021-09-15 21:43:10,40.71278080,-73.99371177,6,3.472,,12.690,332,23,25,,
T,2021-09-15 21:43:11,40.71287517,-73.99376757,7,2.579,,11.510,335,21,25,,
T,2021-09-15 21:43:12,40.71298172,-73.99382989,8,2.497,,12.860,335,21,25,,
